States,Years,Quarter,Brands,Transaction_count,Percentage
Andhra Pradesh,2020,3,Apple,370327,0.0235991
Andhra Pradesh,2020,3,OnePlus,322028,0.0205213
Andhra Pradesh,2020,3,Lenovo,260912,0.0166266
Andhra Pradesh,2020,3,Others,1129155,0.0719555
Andhra Pradesh,2020,4,Xiaomi,4325662,0.25331
Andhra Pradesh,2020,4,Samsung,3419866,0.200267
Andhra Pradesh,2020,4,Vivo,2950572,0.172785
Andhra Pradesh,2020,4,Oppo,1856052,0.10869
Andhra Pradesh,2020,4,Realme,1361491,0.0797286
Andhra Pradesh,2020,4,Motorola,506158,0.0296405
Andhra Pradesh,2020,4,Huawei,437125,0.0255979
Andhra Pradesh,2020,4,Apple,394191,0.0230837
Andhra Pradesh,2020,4,OnePlus,336518,0.0197064
Andhra Pradesh,2020,4,Lenovo,276671,0.0162018
Andhra Pradesh,2020,4,Others,1212259,0.0709896
Andhra Pradesh,2021,1,Xiaomi,4644641,0.252925
Andhra Pradesh,2021,1,Samsung,3635596,0.197977
Andhra Pradesh,2021,1,Vivo,3245151,0.176715
Andhra Pradesh,2021,1,Oppo,2010506,0.109482
Andhra Pradesh,2021,1,Realme,1531645,0.083406
Andhra Pradesh,2021,1,Motorola,518115,0.028214
Andhra Pradesh,2021,1,Huawei,455604,0.02481
Andhra Pradesh,2021,1,Apple,421002,0.0229257
Andhra Pradesh,2021,1,OnePlus,355922,0.0193818
Andhra Pradesh,2021,1,Lenovo,277980,0.0151374
Andhra Pradesh,2021,1,Others,1267571,0.0690258
Andhra Pradesh,2021,2,Xiaomi,4937684,0.251654
Andhra Pradesh,2021,2,Samsung,3798250,0.193582
Andhra Pradesh,2021,2,Vivo,3572140,0.182058
Andhra Pradesh,2021,2,Oppo,2173037,0.110751
Andhra Pradesh,2021,2,Realme,1817804,0.0926463
Andhra Pradesh,2021,2,Motorola,503072,0.0256396
Andhra Pradesh,2021,2,Apple,450689,0.0229698
Andhra Pradesh,2021,2,Huawei,440324,0.0224416
Andhra Pradesh,2021,2,OnePlus,394851,0.020124
Andhra Pradesh,2021,2,Lenovo,261201,0.0133124
Andhra Pradesh,2021,2,Others,1271853,0.0648213
Andhra Pradesh,2021,3,Xiaomi,5256707,0.249607
Andhra Pradesh,2021,3,Vivo,3981492,0.189056
Andhra Pradesh,2021,3,Samsung,3911188,0.185717
Andhra Pradesh,2021,3,Oppo,2382363,0.113123
Andhra Pradesh,2021,3,Realme,2134616,0.101359
Andhra Pradesh,2021,3,Motorola,486971,0.0231231
Andhra Pradesh,2021,3,Apple,480993,0.0228393
Andhra Pradesh,2021,3,OnePlus,459011,0.0217955
Andhra Pradesh,2021,3,Huawei,435214,0.0206655
Andhra Pradesh,2021,3,Lenovo,245241,0.0116449
Andhra Pradesh,2021,3,Others,1286102,0.0610688
Andhra Pradesh,2021,4,Xiaomi,5518238,0.245375
Andhra Pradesh,2021,4,Vivo,4381023,0.194807
Andhra Pradesh,2021,4,Samsung,4017419,0.178639
Andhra Pradesh,2021,4,Oppo,2580845,0.11476
Andhra Pradesh,2021,4,Realme,2528884,0.11245
Andhra Pradesh,2021,4,Apple,544986,0.0242334
Andhra Pradesh,2021,4,OnePlus,525373,0.0233613
Andhra Pradesh,2021,4,Motorola,474422,0.0210957
Andhra Pradesh,2021,4,Huawei,409934,0.0182282
Andhra Pradesh,2021,4,Lenovo,224391,0.0099778
Andhra Pradesh,2021,4,Others,1283514,0.0570729
Andhra Pradesh,2022,1,Xiaomi,5743382,0.240732
Andhra Pradesh,2022,1,Vivo,4772765,0.200049
