States,Years,Quarter,District,Transaction_count,Transaction_amount
Andhra Pradesh,2020,3,chittoor district,20501863,42811600000.0
Andhra Pradesh,2020,3,guntur district,17601395,42531200000.0
Andhra Pradesh,2020,3,krishna district,19110457,44788500000.0
Andhra Pradesh,2020,4,east godavari district,25989490,58732600000.0
Andhra Pradesh,2020,4,srikakulam district,11092184,25222500000.0
Andhra Pradesh,2020,4,spsr nellore district,20934374,49115400000.0
Andhra Pradesh,2020,4,vizianagaram district,10580824,24094800000.0
Andhra Pradesh,2020,4,visakhapatnam district,46551467,91879800000.0
Andhra Pradesh,2020,4,prakasam district,16176867,41852400000.0
Andhra Pradesh,2020,4,anantapur district,20996384,49732600000.0
Andhra Pradesh,2020,4,ysr district,15676878,42573000000.0
Andhra Pradesh,2020,4,west godavari district,15674762,40311000000.0
Andhra Pradesh,2020,4,kurnool district,18737323,44718200000.0
Andhra Pradesh,2020,4,chittoor district,29590411,61505700000.0
Andhra Pradesh,2020,4,guntur district,26136538,60641900000.0
Andhra Pradesh,2020,4,krishna district,27981050,64461500000.0
Andhra Pradesh,2021,1,east godavari district,26190701,60028000000.0
Andhra Pradesh,2021,1,srikakulam district,11160473,26486600000.0
Andhra Pradesh,2021,1,spsr nellore district,22541428,52210300000.0
Andhra Pradesh,2021,1,vizianagaram district,10514582,24153800000.0
Andhra Pradesh,2021,1,visakhapatnam district,48248923,95308400000.0
Andhra Pradesh,2021,1,prakasam district,15175395,41396200000.0
Andhra Pradesh,2021,1,anantapur district,20102957,48353900000.0
Andhra Pradesh,2021,1,ysr district,15374473,42570900000.0
Andhra Pradesh,2021,1,west godavari district,16015685,42124000000.0
Andhra Pradesh,2021,1,kurnool district,17918524,44941600000.0
Andhra Pradesh,2021,1,chittoor district,29342609,60947500000.0
Andhra Pradesh,2021,1,guntur district,27445045,64208000000.0
Andhra Pradesh,2021,1,krishna district,29717175,69715400000.0
Andhra Pradesh,2021,2,east godavari district,31717908,74604300000.0
Andhra Pradesh,2021,2,srikakulam district,13546232,32298100000.0
Andhra Pradesh,2021,2,spsr nellore district,30290406,72283100000.0
Andhra Pradesh,2021,2,vizianagaram district,12689494,29140700000.0
Andhra Pradesh,2021,2,visakhapatnam district,54390299,114439000000.0
Andhra Pradesh,2021,2,prakasam district,19944047,54535300000.0
Andhra Pradesh,2021,2,anantapur district,25123346,60987500000.0
Andhra Pradesh,2021,2,ysr district,18457361,52523500000.0
Andhra Pradesh,2021,2,west godavari district,20950964,57233100000.0
Andhra Pradesh,2021,2,kurnool district,21972396,56659300000.0
Andhra Pradesh,2021,2,chittoor district,34344902,73654700000.0
Andhra Pradesh,2021,2,guntur district,32968819,82356900000.0
Andhra Pradesh,2021,2,krishna district,36370960,90021900000.0
Andhra Pradesh,2021,3,east godavari district,39572714,89380400000.0
Andhra Pradesh,2021,3,srikakulam district,15639768,34836400000.0
Andhra Pradesh,2021,3,spsr nellore district,34411958,77839700000.0
Andhra Pradesh,2021,3,vizianagaram district,14510005,31383500000.0
Andhra Pradesh,2021,3,visakhapatnam district,69220981,136946000000.0
Andhra Pradesh,2021,3,prakasam district,24116580,63367700000.0
Andhra Pradesh,2021,3,anantapur district,30366444,70291300000.0
Andhra Pradesh,2021,3,ysr district,22439316,60683600000.0
Andhra Pradesh,2021,3,west godavari district,26245039,66647200000.0
Andhra Pradesh,2021,3,kurnool district,26377809,62527500000.0
Andhra Pradesh,2021,3,chittoor district,42628568,89371900000.0
Andhra Pradesh,2021,3,guntur district,41675093,96525400000.0
Andhra Pradesh,2021,3,krishna district,44828275,104418000000.0
Andhra Pradesh,2021,4,east godavari district,48992531,106726000000.0
Andhra Pradesh,2021,4,srikakulam district,18501857,39713700000.0
Andhra Pradesh,2021,4,spsr nellore district,41921081,92256400000.0
Andhra Pradesh,2021,4,vizianagaram district,17253059,36577500000.0
Andhra Pradesh,2021,4,visakhapatnam district,82711538,159530000000.0
Andhra Pradesh,2021,4,prakasam district,27858275,71323100000.0
Andhra Pradesh,2021,4,anantapur district,36129136,81239800000.0
Andhra Pradesh,2021,4,ysr district,26340348,69081800000.0
Andhra Pradesh,2021,4,west godavari district,33235175,81292500000.0
Andhra Pradesh,2021,4,kurnool district,31782248,73969000000.0
Andhra Pradesh,2021,4,chittoor district,51119640,103986000000.0
Andhra Pradesh,2021,4,guntur district,50919286,115554000000.0
Andhra Pradesh,2021,4,krishna district,55489829,125015000000.0
Andhra Pradesh,2022,1,east godavari district,54738830,121067000000.0
Andhra Pradesh,2022,1,srikakulam district,20990782,46898900000.0
Andhra Pradesh,2022,1,spsr nellore district,47645702,104896000000.0
Andhra Pradesh,2022,1,vizianagaram district,19278262,41994900000.0
Andhra Pradesh,2022,1,visakhapatnam district,88233362,170120000000.0
Andhra Pradesh,2022,1,prakasam district,31340975,79494400000.0
