States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662692
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974
Arunachal Pradesh,2018,4,Financial Services,561,100598
Arunachal Pradesh,2018,4,Others,2222,2446272
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796895
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218
Arunachal Pradesh,2019,1,Financial Services,256,140623
Arunachal Pradesh,2019,1,Others,2239,2730549
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724
Arunachal Pradesh,2019,2,Financial Services,267,160661
Arunachal Pradesh,2019,2,Others,3046,3880743
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946105
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248
Arunachal Pradesh,2019,3,Financial Services,864,64089
Arunachal Pradesh,2019,3,Others,2758,3419197
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137448
Arunachal Pradesh,2019,4,Merchant payments,19769,23192272
Arunachal Pradesh,2019,4,Financial Services,314,305380
Arunachal Pradesh,2019,4,Others,2376,3421174
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011655
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052
Arunachal Pradesh,2020,1,Financial Services,470,337813
Arunachal Pradesh,2020,1,Others,2261,2943873
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426
Arunachal Pradesh,2020,2,Merchant payments,35169,46446967
Arunachal Pradesh,2020,2,Financial Services,1310,2655508
Arunachal Pradesh,2020,2,Others,1939,1761404
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431
Arunachal Pradesh,2020,3,Merchant payments,72736,88145179
Arunachal Pradesh,2020,3,Financial Services,1761,4030600
Arunachal Pradesh,2020,3,Others,3005,2695539
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926
Arunachal Pradesh,2020,4,Financial Services,1749,2391652
Arunachal Pradesh,2020,4,Others,4079,4055324
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488559
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358377
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020
Arunachal Pradesh,2021,1,Financial Services,1558,2672460
Arunachal Pradesh,2021,1,Others,3074,3301663
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152
